ID;CODIGO PAIS;CODIGO ENTIDAD;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;DISPOSITIVO LEGAL;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;TIPO MONEDA;MONTO DE INVERSIÓN;TIPO MONEDA;MONTO DE TRANSFERENCIA 2020;ESTADO
235;PE;11476;130102;2492014;2492014;LA LIBERTAD;TRUJILLO;EL PORVENIR;"REPARACION DE PISTA; EN EL(LA) CALLE BALTAZAR VILLALONGA TRAMO DESDE LA AVENIDA SANCHEZ CARRION HASTA LA CALLE RICARDO PALMA DISTRITO DE EL PORVENIR,  PROVINCIA TRUJILLO, DEPARTAMENTO LA LIBERTAD";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE EL PORVENIR;21;211;Pista y Vereda;PEN;696,156.34;PEN;693,978.00;Concluido
236;PE;11476;130102;2492010;2492010;LA LIBERTAD;TRUJILLO;EL PORVENIR;"REPARACION DE PISTA; EN EL(LA) AVENIDA PUMACAHUA TRAMO DESDE LA AVENIDA MOCHICA HASTA LA CALLE ANTONIO RIVERO, DISTRITO DE EL PORVENIR, PROVINCIA TRUJILLO, DEPARTAMENTO LA LIBERTAD";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE EL PORVENIR;47;278;Pista y Vereda;PEN;1,589,181.10;PEN;1,567,952.00;Concluido
237;PE;11476;130102;2492015;2492015;LA LIBERTAD;TRUJILLO;EL PORVENIR;"REPARACION DE PISTA; EN EL(LA) CALLE HUASCAR TRAMO DESDE LA AVENIDA LAS ANIMAS HASTA LA CALLE ASCENCIO VERGARA, DISTRITO DE EL PORVENIR, PROVINCIA TRUJILLO, DEPARTAMENTO LA LIBERTAD";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE EL PORVENIR;15;176;Pista y Vereda;PEN;475,425.81;PEN;500,281.00;Concluido
238;PE;11476;130107;2491945;2491945;LA LIBERTAD;TRUJILLO;MOCHE;" REPARACION DE PISTA, VEREDA Y SARDINEL; EN EL(LA) REHABILITACIÓN DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL, SECTOR CURVA DE SUN DISTRITO DE MOCHE, PROVINCIA TRUJILLO, DEPARTAMENTO LA LIBERTAD";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MOCHE ;34;600;Pista y Vereda;PEN;1,117,200.76;PEN;1,055,584.00;Concluido
239;PE;11476;130107;2491439;2491439;LA LIBERTAD;TRUJILLO;MOCHE;"REPARACION DE PISTA, VEREDA Y SARDINEL; EN EL(LA) REHABILITACIÓN DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL, SECTOR TAQUILA DISTRITO DE MOCHE, PROVINCIA TRUJILLO, DEPARTAMENTO LA LIBERTAD";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MOCHE ;38;600;Pista y Vereda;PEN;1,267,805.79;PEN;1,198,384.00;Concluido
240;PE;11476;130111;2492338;2492338;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;"REPARACION DE PISTA; EN EL(LA) URBANIZACION PRADERAS Y JARDINES DEL GOLF DISTRITO DE VICTOR LARCO HERRERA, PROVINCIA TRUJILLO, DEPARTAMENTO LA LIBERTAD";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE VICTOR LARCO HERRERA;22;1960;Pista y Vereda;PEN;700,341.12;PEN;650,272.00;Concluido
241;PE;11476;130608;2493664;2493664;LA LIBERTAD;OTUZCO;MACHE;"REPARACION DE PAVIMENTO, VEREDA, CUNETA Y CANAL PLUVIAL; EN EL(LA) SECTOR CENTRAL DE MACHE  DISTRITO DE MACHE, PROVINCIA OTUZCO, DEPARTAMENTO LA LIBERTAD";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MACHE;34;84;Pista y Vereda;PEN;1,124,019.86;PEN;1,091,020.00;En Ejecución
242;PE;11476;130610;2492659;2492659;LA LIBERTAD;OTUZCO;PARANDAY;"CONSTRUCCION DE PAVIMENTO Y CUNETA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE PARANDAY (CALLE 28 DE JULIO Y CALLE HERMANOS ANGULO, DISTRITO DE PARANDAY) DISTRITO DE LA CUESTA, PROVINCIA OTUZCO, DEPARTAMENTO LA LIBERTA";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE PARANDAY;20;391;Pista y Vereda;PEN;675,861.95;PEN;715,800.00;Concluido
243;PE;11476;140102;2492185;2492185;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;"REPARACION DE PAVIMENTO Y VEREDA; EN EL(LA) EN LAS CALLES: CALLE MELGAR CUADRA 10 Y 11, RICARDO MORENO CUADRA 13 Y 14, JUAN SANTOS CUADRA 13, PACHACUTEC CUADRA 12 Y 13 Y CALLE LIMA CUADRA 8 Y 9, EN LA LOCALIDAD CHONGOYAPE, DISTRITO DE CHONGOYAPE, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE CHONGOYAPE;51;145;Pista y Vereda;PEN;1,719,799.59;PEN;1,685,550.00;Actos Previos
244;PE;11476;140102;2492160;2492160;LAMBAYEQUE;CHICLAYO;CHONGOYAPE;"REPARACION DE PAVIMENTO Y VEREDA; EN EL(LA) EN LAS CALLES: AV. CHICLAYO CUADRA 13 HASTA LA 30, ANCASH CUADRA 12, GRAU CUADRA 11, INTERSECCIONES DE CALLE MIGUEL IGLESIAS Y AV. CHICLAYO E INTERSECCIONES DE CALLE TUPAC AMARU Y AV. CHICLAYO, EN LA LOCALIDAD CHONGOYAPE, DISTRITO DE CHONGOYAPE, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE CHONGOYAPE;52;482;Pista y Vereda;PEN;1,768,222.90;PEN;1,733,862.00;En Ejecución
